status,product_area,response,justification,request_type
replied,6271433412-audio-and-video-calls-in-interviews-powered-by-zoom,"The current inactivity time for interviewers is 3 minutes, after which candidates are moved to the lobby. However, there is also a 2-minute time frame for certain features to be restored. It's possible that the interviewers are being considered inactive due to not interacting with their HackerRank screen while watching the candidate's screen share.",grounded_response_generated | above_similarity_floor,product_issue
replied,,"I am sorry, this is out of scope from my capabilities",margin_too_low_ambiguous | llm_fallback_used | domain_ambiguous_unsupported | short_circuit_oos,product_issue
replied,6488043690-canceling-an-interview,"To remove an interviewer, you should be able to click the more options menu (⋮) next to their name and select an option to delete or remove them, similar to how you would delete an interview or template.",grounded_response_generated | above_similarity_floor,product_issue
escalated,2880884436-smartrecruiters---hackerrank-integration-user-guide,Escalate to a human,llm_draft_failed | above_similarity_floor,product_issue
replied,10366432-i-m-getting-an-api-connection-error-how-can-i-fix-it,"To resolve the issue with Claude stopping working completely and all requests failing, try checking your firewall rules and network settings to ensure they are not blocking the connection to the Claude API endpoint. Additionally, ensure you are not using a VPN when accessing Claude, as this could be causing the issue. If the problem persists, consider contacting the Support team for further assistance.",grounded_response_generated | above_similarity_floor,product_issue
replied,support,"To address the issue of your stolen identity, visit the Lost or Stolen card page to learn how to cancel your card or obtain an emergency replacement card, especially if the theft involves your Visa card.",grounded_response_generated | above_similarity_floor,invalid
replied,9106957203-create-a-resume-with-resume-builder,"To troubleshoot the Resume Builder issue, try logging in to the HackerRank Community and selecting Resume Builder from the dropdown menu. If the issue persists, ensure you are using the correct template or importing an existing resume in the correct format.",grounded_response_generated | above_similarity_floor,product_issue
replied,8941367927-certifications-faqs,"You can update the name on your certificate by following these steps: Open your certificate page, enter the name you want to display in the Full Name field, click Regenerate Certificate, and then click Update Name in the confirmation dialog. Please note that you can only update the name on your certificate once per account.",grounded_response_generated | above_similarity_floor,product_issue
replied,support,"To dispute a charge, please contact your issuer or bank using the freephone number located on the front or back of your Visa card.",grounded_response_generated | above_similarity_floor,product_issue
replied,14661296-claude-security,"To report the major security vulnerability you've found in Claude, please review the Responsible Disclosure Policy and submit a report as outlined in the policy. This will help ensure that the issue is addressed while following the proper procedures for responsible disclosure.",grounded_response_generated | above_similarity_floor,bug
replied,7996906-reporting-blocking-and-removing-content-from-claude,"To stop Claude from crawling your website, you can use the robots.txt file to set 'do not crawl' signals, which Anthropic's bots will respect.",grounded_response_generated | above_similarity_floor,product_issue
replied,support,You can use the Visa ATM locator to find an ATM near you and withdraw cash using your Visa card. Please ensure that your card is activated for overseas travel use if you're abroad and check your daily ATM withdrawal limit.,grounded_response_generated | above_similarity_floor,product_issue
replied,11174108-about-the-development-partner-program,The data you share will be stored securely for up to two years to improve the models.,grounded_response_generated | above_similarity_floor,product_issue
escalated,9552481360-deleting-a-test,Escalate to a human,short_circuit_force_escalate | RISK_CRITICAL_ESCALATE | above_similarity_floor | margin_too_low_ambiguous | llm_fallback_used,product_issue
replied,visa-rules,"To address your blocked Visa card issue during travel, you can report the problem using the online form. Additionally, Visa provides materials for fraud prevention and security efforts, which may help in verifying the legitimacy of your card and transactions.",grounded_response_generated | weak_similarity_floor,product_issue
replied,7996921-i-use-claude-in-amazon-bedrock-who-do-i-contact-for-customer-support-inquiries,"For issues with Claude in Amazon Bedrock, contact AWS Support or reach out to your AWS account manager. You can also visit the AWS re:Post for community-based support.",grounded_response_generated | above_similarity_floor,product_issue
replied,1917106962-manage-account-faqs,"To remove the employee from your HackerRank hiring account, log in as a Company Admin, access the Candidates Page, search for the candidate, and click the delete option.",grounded_response_generated | above_similarity_floor,product_issue
replied,11725453-set-up-the-claude-lti-in-canvas-by-instructure,"To set up a Claude LTI key for your students, you need to sign in as an administrator in Canvas and navigate to Admin -> Developer Keys. Then, click '+ Developer Key' and '+ LTI Key.' Enter 'Claude LTI' as the Key Name and follow the rest of the steps to complete the setup.",grounded_response_generated | above_similarity_floor,product_issue
replied,support,"The merchant is allowed to require a minimum transaction amount of $10 in the US Virgin Islands, but this only applies to credit cards. If you are using a debit card, the merchant should not require a minimum amount.",grounded_response_generated | above_similarity_floor,product_issue
